BcProductId,Current Stock,Large Image URL,Medium Image URL,Product Description,Product Name,Product Price,Product URL,Retail Price,Shipping Weight,Thumb Image URL,Brand,Category,Gender,Manufacturer,SKU,Country of Origin,UPC,Type,isNewArrival,Discount Off Retail,Categories
155,16,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/155/images/282016/471165926__27377.1758600110.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/155/images/282016/471165926__27377.1758600110.386.513.jpg?c=1,4711 27.1 COLOGNE SPLASH,4711 27.1 COLOGNE SPLASH,25.3,https://www.scentsworld.com/471165926/,60,50.4,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/155/images/282016/471165926__27377.1758600110.220.290.jpg?c=1,4711,Shop All,Unisex,,471165926,GERMANY,4011700740031,product,false,0.5783333333333334,"Shop All, Mens, Fragrance"
12190,11,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/12190/images/282635/GA058885__77405.1758606294.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/12190/images/282635/GA058885__77405.1758606294.386.513.jpg?c=1,ACQUA DI GIO 3.4 AFTER SHAVE LOTION SPLASH (GLASS BOTTLE),ACQUA DI GIO 3.4 AFTER SHAVE LOTION SPLASH (GLASS BOTTLE),36.3,https://www.scentsworld.com/ga058885/,78,10.4,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/12190/images/282635/GA058885__77405.1758606294.220.290.jpg?c=1,GIORGIO ARMANI,Shop All,Men,,GA058885,FRANCE,3360372058885,product,false,0.5346153846153847,"Shop All, Mens, Bath and Body"
46919,31,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/46919/images/282655/GALE310600__86146.1758606483.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/46919/images/282655/GALE310600__86146.1758606483.386.513.jpg?c=1,ACQUA DI GIO PROFONDO 6.7 EAU DE PARFUM SPRAY,ACQUA DI GIO PROFONDO 6.7 EAU DE PARFUM SPRAY,108.9,https://www.scentsworld.com/gale310600/,190,16,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/46919/images/282655/GALE310600__86146.1758606483.220.290.jpg?c=1,GIORGIO ARMANI,Shop All,MEN,,GALE310600,FRANCE,3614273953832,product,false,0.4268421052631579,"Shop All, Mens, New Arrivals, Fragrance"
41089,100,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/41089/images/282019/ADP10415A__28549.1758600144.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/41089/images/282019/ADP10415A__28549.1758600144.386.513.jpg?c=1,"ACQUA DI PARMA BLU MEDITERRANEO 5 X 0.16 EAU DE TOILETTE MINI SET: ARANCIA DI CAPRI + BERGAMOTTO DI CALABRIA + FICO DI AMALFI + MIRTO DI PANAREA + MANDORLO DI SICILIA
",ACQUA DI PARMA BLU MEDITERRANEO 5 X 0.16 EAU DE TOILETTE MINI SET: ARANCIA DI CAPRI + BERGAMOTTO DI CALABRIA + FICO DI AMALFI + MIRTO DI PANAREA + MANDORLO DI SICILIA,30.8,https://www.scentsworld.com/adp10415a/,93,7.2,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/41089/images/282019/ADP10415A__28549.1758600144.220.290.jpg?c=1,ACQUA DI PARMA,Shop All,UNISEX,,ADP10415A,ITALY,8028713959455,product,false,0.6688172043010753,"Shop All, Gift Sets, Mini, Unisex, Fragrance"
46435,58,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/46435/images/282018/ADP082806__11296.1758600134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/46435/images/282018/ADP082806__11296.1758600134.386.513.jpg?c=1,ACQUA DI PARMA COLONIA 3.4 EAU DE COLOGNE SPRAY,ACQUA DI PARMA COLONIA 3.4 EAU DE COLOGNE SPRAY.,63.8,https://www.scentsworld.com/adp082806/,217,16,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/46435/images/282018/ADP082806__11296.1758600134.220.290.jpg?c=1,ACQUA DI PARMA,Shop All,UNISEX,,ADP082806,ITALY,8028713828065,product,false,0.7059907834101382,"Shop All, Unisex, Fragrance"
40804,96,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/40804/images/282017/ADP011__02446.1758600122.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/40804/images/282017/ADP011__02446.1758600122.386.513.jpg?c=1,"ACQUA DI PARMA COLONIA TESTER 3.3 EAU DE COLOGNE SPRAY
",ACQUA DI PARMA COLONIA TESTER 3.3 EAU DE COLOGNE SPRAY,42.9,https://www.scentsworld.com/adp011/,212,9.92,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/40804/images/282017/ADP011__02446.1758600122.220.290.jpg?c=1,ACQUA DI PARMA,Shop All,UNISEX,,ADP011,ITALY,8028713000119,product,false,0.7976415094339623,"Shop All, Testers, New Arrivals, Unisex, Fragrance"
40610,7,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/40610/images/282022/AFN002345__97304.1758600173.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/40610/images/282022/AFN002345__97304.1758600173.386.513.jpg?c=1,"AFNAN 9 AM 3.4 EAU DE PARFUM SPRAY FOR MEN
",AFNAN 9 AM 3.4 EAU DE PARFUM SPRAY FOR MEN,18.7,https://www.scentsworld.com/afn002345/,75,18.24,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/40610/images/282022/AFN002345__97304.1758600173.220.290.jpg?c=1,AFNAN,Shop All,Men,,AFN002345,UAE,6290171002345,product,false,0.7506666666666667,"Shop All, Mens, Fragrance"
40195,100,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/40195/images/282021/AFN002338__71045.1758600163.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/40195/images/282021/AFN002338__71045.1758600163.386.513.jpg?c=1,"AFNAN 9 PM 3.4 EAU DE PARFUM SPRAY FOR MEN
",AFNAN 9 PM 3.4 EAU DE PARFUM SPRAY FOR MEN,20.9,https://www.scentsworld.com/afn002338/,100,18.4,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/40195/images/282021/AFN002338__71045.1758600163.220.290.jpg?c=1,AFNAN,Shop All,Men,,AFN002338,UAE,6290171002338,product,false,0.791,"Shop All, Mens, Fragrance"
48057,1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/48057/images/282028/AFN074250__70986.1758600233.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/48057/images/282028/AFN074250__70986.1758600233.386.513.jpg?c=1,AFNAN 9 PM 4 PCS SET FOR WOMEN: 3.4 EAU DE PARFUM SPRAY + 5 OZ BODY MIST + 3.4 SHOWER GEL + 3.4 BODY LOTION,AFNAN 9 PM 4 PCS SET FOR WOMEN: 3.4 EAU DE PARFUM SPRAY + 5 OZ BODY MIST + 3.4 SHOWER GEL + 3.4 BODY LOTION,28.6,https://www.scentsworld.com/afn074250/,100,46.4,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/48057/images/282028/AFN074250__70986.1758600233.220.290.jpg?c=1,AFNAN,Shop All,Women,,AFN074250,UAE,6290171074250,product,false,0.714,"Shop All, Womens, Gift Sets, Fragrance Mist, Fragrance, Bath and Body"
47923,25,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47923/images/282029/AFN075769__68950.1758600243.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47923/images/282029/AFN075769__68950.1758600243.386.513.jpg?c=1,AFNAN 9 PM 5.07 EAU DE PARFUM SPRAY FOR MEN,AFNAN 9 PM 5.07 EAU DE PARFUM SPRAY FOR MEN,28.6,https://www.scentsworld.com/afn075769/,140,21.12,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47923/images/282029/AFN075769__68950.1758600243.220.290.jpg?c=1,AFNAN,Shop All,Men,,AFN075769,UAE,6290171075769,product,false,0.7957142857142857,"Shop All, Mens, Fragrance"
